tree_sp,com_name
Acer palmatum,Japanese maple
Acer rubrum,Red maple
Aesculas,Red horsechestnut
Cedras atlantica,Atlas cedar
Cornus,Dogwood
Cornus contraversa,Giant dogwood
Fagus sylvatica,European beech
Fagus sylvatica 'Laciniata',Cut-leaf beech
Fagus sylvatica atropu,Copper beech
Fagus sylvatica pendula,Weeping beech
Magnolia stellata,Star magnolia
Metasequoia,Dawn redwood
Nyssa sylvatica,Black gum
Oxydendrum arboreum,Sourwood
Picea,Spruce
Prunus,Cherry
Prunus 'Okame',Okame cherry
Prunus subhirtella pendula,Weeping cherry
Prunus subhirtella var.,Double-flowered higan cherry
Pyrus calleryane,Callery pear
Quercus alba,White oak
Quercus palustris,Pin oak
Quercus rubra,Red oak
Sophora japonica,Scholar-tree
Styrax japonica,Japanese snowbell
Tilia,Linden
Tsuga canadensis,Weeping hemlock
Ulmus 'Frontier',Frontier elm
